,ref,lea name,url
389,SB978-481,San Mateo County Sheriff's Office,https://web.archive.org/web/19980523065628/http://www.smcsheriff.com/
390,SB978-482,San Mateo Police Department,https://web.archive.org/web/20010404093841/http://www.cityofsanmateo.org/
391,SB978-483,San Pablo Police Department,https://web.archive.org/web/20110126003708/http://sanpabloca.gov/
392,SB978-484,San Rafael Police Department,https://web.archive.org/web/19991013012957/http://srpd.org/
393,SB978-485,San Ramon Police Department,https://web.archive.org/web/20010331235859/http://www.sanramon.ca.gov/
394,SB978-486,Sand City Police Department,https://web.archive.org/web/19981207071120/http://www.sandcity.org/
395,SB978-487,Sanger Police Department,https://web.archive.org/web/20020601201942/http://www.ci.sanger.ca.us/
396,SB978-488,Santa Ana Police Department,https://web.archive.org/web/20001018094541/http://santa-ana.org/
397,SB978-489,Santa Ana Unified School District Police Department,https://web.archive.org/web/20020601201942/http://www.ci.sanger.ca.us/
398,SB978-491,Santa Barbara County Sheriff's Department,https://web.archive.org/web/19961228001941/http://www.sbsheriff.org/
399,SB978-492,Santa Barbara Police Department,https://web.archive.org/web/20040804210759/http://www.santabarbaraca.gov/
400,SB978-495,Santa Clara County Sheriff's Department,https://web.archive.org/web/20221111172042/https://countysheriff.sccgov.org/
401,SB978-496,Santa Clara Police Department,https://web.archive.org/web/20071130222004/http://santaclaraca.gov/
402,SB978-498,Santa Cruz County District Attorney,https://web.archive.org/web/20091016064747/http://datinternet.co.santa-cruz.ca.us/
403,SB978-499,Santa Cruz County Sheriff's Department,https://web.archive.org/web/20000120033321/http://www.scsheriff.com/
404,SB978-500,Santa Cruz Police Department,https://web.archive.org/web/20020628070207/http://cityofsantacruz.com/
405,SB978-501,Santa Fe Springs Police Services,https://web.archive.org/web/20020602124527/http://www.cityofwhittier.org/
406,SB978-502,Santa Maria Police Department,https://web.archive.org/web/20031101024323/http://www.cityofsantamaria.org/
407,SB978-504,Santa Monica Police Department,https://web.archive.org/web/19961227043532/http://santamonicapd.org/
408,SB978-505,Santa Paula Police Department,https://web.archive.org/web/20030930122157/http://spcity.org/
409,SB978-506,Santa Rosa Junior College Police Department,https://web.archive.org/web/20160309171631/http://police.santarosa.edu/
410,SB978-507,Santa Rosa Police Department,https://web.archive.org/web/20061006213118/http://www.srcity.org/
411,SB978-508,Sausalito Police Department,https://web.archive.org/web/20170818114450/http://www.sausalito.gov/
412,SB978-509,Scotts Valley Police Department,https://web.archive.org/web/20000817022946/http://www.scottsvalleypd.com/
413,SB978-510,Seal Beach Police Department,https://web.archive.org/web/20110126012247/http://sealbeachca.gov/
414,SB978-511,Seaside Police Department,https://web.archive.org/web/19970613042146/http://www.ci.seaside.ca.us/
415,SB978-512,Sebastopol Police Department,https://web.archive.org/web/20010410134950/http://www.ci.sebastopol.ca.us/
416,SB978-513,Selma Police Department,https://web.archive.org/web/20011127080107/http://www.cityofselma.com/
417,SB978-514,Shafter Police Department,https://web.archive.org/web/19961229213142/http://www.shafter.com/
418,SB978-517,Shasta County Sheriff's Department,https://web.archive.org/web/19991127230449/http://www.co.shasta.ca.us/
419,SB978-520,Sierra County Sheriff's Office,https://web.archive.org/web/20130621001204/http://www.sierracounty.ca.gov/
420,SB978-521,Sierra Madre Police Department,https://web.archive.org/web/20040904222029/http://www.cityofsierramadre.com/
421,SB978-522,Signal Hill Police Department,https://web.archive.org/web/20070818165133/http://www.cityofsignalhill.org/
422,SB978-523,Simi Valley Police Department,https://web.archive.org/web/20000304111954/http://www.simivalley.org/
423,SB978-525,Siskiyou County Sheriff's Department,https://web.archive.org/web/19991103045516/http://www.co.siskiyou.ca.us/
424,SB978-529,Solano County Sheriff's Department,https://web.archive.org/web/19981202142800/http://www.solanocounty.com/
425,SB978-531,Soledad Police Department,https://web.archive.org/web/20010202054200/http://www.cityofsoledad.com/
426,SB978-534,Sonoma County Probation Department,https://web.archive.org/web/20130427073820/http://sonomacounty.ca.gov/
427,SB978-535,Sonoma County Sheriff's Office,https://web.archive.org/web/19990424155214/http://www.sonomasheriff.org/
428,SB978-536,Sonoma Police Department,https://web.archive.org/web/19990424155214/http://www.sonomasheriff.org/
429,SB978-537,Sonora Police Department,https://web.archive.org/web/20060910204026/http://www.sonorapd.com/
430,SB978-538,South Gate Police Department,https://web.archive.org/web/19981212023814/http://www.cityofsouthgate.org/
431,SB978-539,South Lake Tahoe Police Department,https://web.archive.org/web/20030727093432/http://www.cityofslt.us/
432,SB978-540,South Pasadena Police Department,https://web.archive.org/web/20130510182252/http://southpasadenaca.gov
